date and time,temperature,humidity,wind speed,cloud cover,amount of precipitation
05.01.2024 21:00,14.0,81,0,0%,2.0
06.01.2024 00:00,19.4,57,16,100%,
06.01.2024 03:00,13.7,87,6,100%,
06.01.2024 06:00,10.8,79,13,70 – 80%,
06.01.2024 09:00,9.0,72,16,0%,
06.01.2024 12:00,-2.8,51,8,50%,Trace of precipitation
06.01.2024 15:00,4.8,47,16,50%,
06.01.2024 18:00,7.4,63,4,0%,Trace of precipitation
06.01.2024 21:00,22.6,55,19,0%,10.0
07.01.2024 00:00,15.4,89,7,25%,
07.01.2024 03:00,-5.6,43,5,70 – 80%,2.0
07.01.2024 06:00,15.2,77,10,0%,10.0
07.01.2024 09:00,8.1,83,18,0%,
07.01.2024 12:00,5.2,66,3,25%,
07.01.2024 15:00,18.1,48,17,25%,
07.01.2024 18:00,22.3,86,0,100%,3.0
07.01.2024 21:00,21.3,55,12,50%,Trace of precipitation
08.01.2024 00:00,3.6,95,13,70 – 80%,
08.01.2024 03:00,8.9,51,0,100%,6.0
08.01.2024 06:00,15.3,70,10,0%,16.0
08.01.2024 09:00,21.8,63,16,25%,1.0
08.01.2024 12:00,7.2,94,3,50%,Trace of precipitation
08.01.2024 15:00,10.1,53,11,100%,
08.01.2024 18:00,0.9,84,9,50%,5.0
08.01.2024 21:00,0.0,64,5,25%,25.0
09.01.2024 00:00,20.1,73,0,100%,Trace of precipitation
09.01.2024 03:00,25.6,42,6,100%,
09.01.2024 06:00,11.3,97,15,50%,
09.01.2024 09:00,22.0,63,13,25%,
09.01.2024 12:00,15.6,93,19,0%,
09.01.2024 15:00,5.5,81,19,100%,35.0
09.01.2024 18:00,15.6,48,5,0%,
09.01.2024 21:00,27.4,65,4,25%,1.0
10.01.2024 00:00,11.6,59,17,100%,Trace of precipitation
10.01.2024 03:00,27.6,79,14,100%,Trace of precipitation
10.01.2024 06:00,-14.2,49,5,0%,
10.01.2024 09:00,20.2,58,18,70 – 80%,0.3
10.01.2024 12:00,12.9,42,0,0%,12.0
10.01.2024 15:00,9.0,63,0,0%,0.3
10.01.2024 18:00,12.9,44,12,70 – 80%,
10.01.2024 21:00,-7.9,42,2,25%,
11.01.2024 00:00,9.8,97,9,25%,
11.01.2024 03:00,15.6,66,2,100%,
11.01.2024 06:00,26.8,55,8,50%,
11.01.2024 09:00,6.8,88,7,50%,
11.01.2024 12:00,3.9,54,2,100%,0.3
11.01.2024 15:00,7.0,74,12,50%,
11.01.2024 18:00,21.2,51,5,0%,
11.01.2024 21:00,15.3,80,12,0%,5.0
12.01.2024 00:00,6.7,92,19,70 – 80%,
12.01.2024 03:00,17.1,83,19,70 – 80%,Trace of precipitation
12.01.2024 06:00,13.0,65,11,100%,
12.01.2024 09:00,21.7,86,12,100%,
12.01.2024 12:00,5.0,73,1,100%,
12.01.2024 15:00,8.7,62,15,0%,Trace of precipitation
12.01.2024 18:00,8.1,70,5,50%,
12.01.2024 21:00,-2.6,89,18,100%,20.0
13.01.2024 00:00,15.0,59,12,100%,
13.01.2024 03:00,14.6,51,16,0%,
13.01.2024 06:00,12.1,62,8,0%,9.0
13.01.2024 09:00,9.7,43,16,0%,
13.01.2024 12:00,-2.2,62,1,50%,0.5
13.01.2024 15:00,7.8,87,18,100%,
13.01.2024 18:00,8.6,94,18,25%,
13.01.2024 21:00,4.0,87,6,25%,0.3
14.01.2024 00:00,10.4,40,9,100%,4.0
14.01.2024 03:00,16.0,93,9,100%,
14.01.2024 06:00,30.9,64,19,100%,2.0
14.01.2024 09:00,13.7,41,8,100%,
14.01.2024 12:00,14.6,69,16,50%,22.0
14.01.2024 15:00,11.3,42,14,25%,7.0
14.01.2024 18:00,-7.2,97,1,70 – 80%,
14.01.2024 21:00,11.7,60,3,25%,
15.01.2024 00:00,12.6,64,18,25%,
15.01.2024 03:00,36.6,59,16,0%,
15.01.2024 06:00,10.1,88,4,100%,
15.01.2024 09:00,15.0,91,6,100%,Trace of precipitation
15.01.2024 12:00,11.7,61,17,100%,0.3
15.01.2024 15:00,0.3,60,6,0%,
15.01.2024 18:00,23.4,72,16,50%,
15.01.2024 21:00,19.5,91,6,50%,
16.01.2024 00:00,19.9,77,3,70 – 80%,Trace of precipitation
16.01.2024 03:00,2.9,54,7,50%,
16.01.2024 06:00,26.0,97,12,50%,
16.01.2024 09:00,-2.0,97,3,100%,
16.01.2024 12:00,17.9,85,5,25%,
16.01.2024 15:00,33.9,91,4,50%,
16.01.2024 18:00,2.1,54,11,50%,
16.01.2024 21:00,6.3,85,3,0%,
17.01.2024 00:00,13.0,64,8,70 – 80%,
17.01.2024 03:00,7.0,60,3,0%,
17.01.2024 06:00,-3.5,63,18,100%,
17.01.2024 09:00,12.7,96,13,25%,
17.01.2024 12:00,1.4,97,4,70 – 80%,0.5
17.01.2024 15:00,16.7,44,17,0%,6.0
17.01.2024 18:00,2.8,45,9,50%,
17.01.2024 21:00,27.5,88,18,50%,
18.01.2024 00:00,4.2,82,11,70 – 80%,2.0
18.01.2024 03:00,8.8,87,17,50%,
18.01.2024 06:00,20.1,83,16,0%,
18.01.2024 09:00,-0.3,86,10,0%,
18.01.2024 12:00,14.3,62,2,50%,0.3
18.01.2024 15:00,25.1,43,16,50%,2.0
18.01.2024 18:00,-4.1,66,0,100%,
18.01.2024 21:00,13.8,57,14,25%,
19.01.2024 00:00,14.6,60,8,70 – 80%,Trace of precipitation
19.01.2024 03:00,19.8,67,14,0%,22.0
19.01.2024 06:00,-0.4,74,2,70 – 80%,4.0
19.01.2024 09:00,-1.2,61,18,100%,
19.01.2024 12:00,17.2,79,12,0%,
19.01.2024 15:00,15.0,62,11,100%,Trace of precipitation
19.01.2024 18:00,14.5,42,19,100%,
19.01.2024 21:00,15.5,79,0,50%,
20.01.2024 00:00,5.2,89,16,70 – 80%,
20.01.2024 03:00,14.3,49,12,70 – 80%,Trace of precipitation
20.01.2024 06:00,14.9,64,0,50%,0.3
20.01.2024 09:00,4.9,91,9,70 – 80%,
20.01.2024 12:00,30.7,88,14,50%,Trace of precipitation
20.01.2024 15:00,16.7,47,6,0%,
20.01.2024 18:00,0.1,94,17,100%,11.0
20.01.2024 21:00,18.6,50,15,100%,
21.01.2024 00:00,2.3,44,13,70 – 80%,
21.01.2024 03:00,19.9,97,17,25%,
21.01.2024 06:00,23.6,84,6,100%,
21.01.2024 09:00,3.8,92,16,50%,
21.01.2024 12:00,21.6,94,17,25%,
21.01.2024 15:00,16.1,76,11,25%,4.0
21.01.2024 18:00,20.2,95,7,100%,
21.01.2024 21:00,31.0,98,1,100%,
22.01.2024 00:00,9.5,84,6,100%,
22.01.2024 03:00,4.5,77,3,50%,
22.01.2024 06:00,3.1,68,17,25%,
22.01.2024 09:00,3.8,44,5,70 – 80%,0.8
22.01.2024 12:00,11.2,48,8,50%,
22.01.2024 15:00,15.4,98,8,0%,Trace of precipitation
22.01.2024 18:00,14.8,87,13,100%,16.0
22.01.2024 21:00,20.3,41,7,25%,
23.01.2024 00:00,12.1,40,18,50%,
23.01.2024 03:00,26.5,79,2,0%,2.0
23.01.2024 06:00,9.4,99,17,50%,
23.01.2024 09:00,39.2,90,4,50%,
23.01.2024 12:00,18.3,69,13,70 – 80%,0.8
23.01.2024 15:00,3.4,50,3,70 – 80%,
23.01.2024 18:00,1.3,67,6,50%,
23.01.2024 21:00,16.8,83,19,0%,Trace of precipitation
24.01.2024 00:00,9.8,51,11,25%,
24.01.2024 03:00,19.1,78,1,25%,
24.01.2024 06:00,16.7,65,10,100%,5.0
24.01.2024 09:00,11.3,52,13,100%,0.8
24.01.2024 12:00,3.5,98,15,25%,
24.01.2024 15:00,-3.1,47,19,50%,
24.01.2024 18:00,7.5,93,5,50%,0.5
24.01.2024 21:00,20.6,67,3,70 – 80%,2.0
25.01.2024 00:00,14.1,97,14,70 – 80%,
25.01.2024 03:00,-0.5,69,0,100%,
25.01.2024 06:00,13.7,48,6,25%,
25.01.2024 09:00,15.9,78,11,50%,0.5
25.01.2024 12:00,3.2,70,9,25%,7.0
25.01.2024 15:00,13.5,97,4,0%,7.0
25.01.2024 18:00,12.6,60,11,25%,6.0
25.01.2024 21:00,0.6,95,17,0%,
26.01.2024 00:00,15.6,86,9,70 – 80%,
26.01.2024 03:00,17.6,73,5,70 – 80%,3.0
26.01.2024 06:00,22.8,94,11,100%,0.8
26.01.2024 09:00,22.5,70,6,25%,
26.01.2024 12:00,-1.8,91,17,25%,
26.01.2024 15:00,2.6,64,1,0%,Trace of precipitation
26.01.2024 18:00,17.2,51,9,70 – 80%,
26.01.2024 21:00,17.1,40,14,0%,
27.01.2024 00:00,17.2,94,11,70 – 80%,0.3
27.01.2024 03:00,50.5,61,16,0%,Trace of precipitation
27.01.2024 06:00,17.7,79,3,70 – 80%,
27.01.2024 09:00,23.4,76,6,0%,Trace of precipitation
27.01.2024 12:00,21.5,86,8,70 – 80%,
27.01.2024 15:00,18.5,40,18,0%,
27.01.2024 18:00,8.8,40,6,25%,
27.01.2024 21:00,19.6,96,1,100%,0.8
28.01.2024 00:00,4.3,81,5,0%,5.0
28.01.2024 03:00,9.6,93,17,100%,1.0
28.01.2024 06:00,7.1,81,5,25%,0.5
28.01.2024 09:00,12.8,60,12,25%,
28.01.2024 12:00,35.1,54,18,70 – 80%,
28.01.2024 15:00,-6.7,56,1,100%,
28.01.2024 18:00,18.9,61,11,50%,
28.01.2024 21:00,-4.1,77,14,70 – 80%,4.0
29.01.2024 00:00,7.3,74,13,100%,3.0
29.01.2024 03:00,22.9,84,5,0%,22.0
29.01.2024 06:00,12.6,55,17,0%,
29.01.2024 09:00,1.2,47,4,25%,
29.01.2024 12:00,4.8,86,17,50%,
29.01.2024 15:00,18.8,56,2,0%,
29.01.2024 18:00,4.7,56,2,100%,
29.01.2024 21:00,14.2,93,9,100%,
30.01.2024 00:00,12.5,65,18,0%,
30.01.2024 03:00,5.5,52,2,100%,
30.01.2024 06:00,33.4,56,11,100%,
30.01.2024 09:00,18.3,77,15,25%,
30.01.2024 12:00,-8.3,56,16,50%,
30.01.2024 15:00,13.9,87,6,25%,
30.01.2024 18:00,5.4,53,12,50%,
30.01.2024 21:00,20.5,84,1,100%,
31.01.2024 00:00,4.1,45,3,50%,
31.01.2024 03:00,10.9,74,9,100%,
31.01.2024 06:00,17.0,85,6,100%,
31.01.2024 09:00,20.7,53,16,25%,Trace of precipitation
31.01.2024 12:00,-0.0,86,19,25%,Trace of precipitation
31.01.2024 15:00,8.7,47,5,70 – 80%,1.0
31.01.2024 18:00,7.3,54,18,0%,
31.01.2024 21:00,5.5,93,4,70 – 80%,
01.02.2024 00:00,29.7,66,9,70 – 80%,10.0
01.02.2024 03:00,16.0,52,8,50%,
01.02.2024 06:00,-0.6,88,12,100%,0.3
01.02.2024 09:00,21.2,70,18,100%,
01.02.2024 12:00,33.2,92,5,100%,
01.02.2024 15:00,22.3,95,3,0%,Trace of precipitation
01.02.2024 18:00,-3.2,74,2,50%,
01.02.2024 21:00,7.2,99,2,50%,
02.02.2024 00:00,24.7,45,3,100%,
02.02.2024 03:00,4.9,44,4,70 – 80%,
02.02.2024 06:00,16.4,61,7,0%,
02.02.2024 09:00,19.7,97,15,70 – 80%,
02.02.2024 12:00,2.7,88,2,25%,1.0
02.02.2024 15:00,11.4,62,11,50%,0.8
02.02.2024 18:00,-20.4,64,7,50%,
02.02.2024 21:00,1.8,73,12,70 – 80%,0.8
03.02.2024 00:00,9.5,65,3,0%,
03.02.2024 03:00,-0.5,86,13,50%,
03.02.2024 06:00,28.3,44,13,70 – 80%,Trace of precipitation
03.02.2024 09:00,-2.3,65,12,0%,0.3
03.02.2024 12:00,7.6,59,5,70 – 80%,4.0
03.02.2024 15:00,13.3,45,16,0%,
03.02.2024 18:00,26.4,45,3,100%,
03.02.2024 21:00,-2.4,98,7,0%,Trace of precipitation
04.02.2024 00:00,23.6,89,16,25%,
04.02.2024 03:00,12.1,57,2,100%,12.0
04.02.2024 06:00,2.2,43,16,70 – 80%,
04.02.2024 09:00,16.6,56,8,100%,5.0
04.02.2024 12:00,14.0,96,1,100%,
04.02.2024 15:00,6.0,53,12,70 – 80%,
04.02.2024 18:00,12.7,53,19,70 – 80%,
04.02.2024 21:00,8.1,52,1,25%,Trace of precipitation
05.02.2024 00:00,13.1,46,19,70 – 80%,0.3
05.02.2024 03:00,18.6,83,10,50%,
05.02.2024 06:00,27.9,94,14,50%,Trace of precipitation
05.02.2024 09:00,-0.4,54,10,25%,
05.02.2024 12:00,33.3,58,2,0%,
05.02.2024 15:00,-7.5,82,2,0%,
05.02.2024 18:00,10.5,86,11,50%,
05.02.2024 21:00,17.9,83,4,70 – 80%,
06.02.2024 00:00,14.8,74,19,25%,
06.02.2024 03:00,5.8,56,6,0%,2.0
06.02.2024 06:00,9.9,74,6,0%,5.0
06.02.2024 09:00,7.1,58,12,100%,0.3
06.02.2024 12:00,6.1,59,8,50%,
06.02.2024 15:00,20.5,75,12,70 – 80%,0.8
06.02.2024 18:00,15.6,74,11,25%,1.0
06.02.2024 21:00,5.1,71,12,0%,
07.02.2024 00:00,21.0,97,9,100%,Trace of precipitation
07.02.2024 03:00,15.1,87,0,50%,
07.02.2024 06:00,20.1,83,7,50%,
07.02.2024 09:00,18.3,79,15,25%,
07.02.2024 12:00,3.7,63,12,0%,
07.02.2024 15:00,6.4,56,2,25%,0.5
07.02.2024 18:00,19.5,46,2,25%,
07.02.2024 21:00,18.1,82,4,100%,
08.02.2024 00:00,11.8,89,10,50%,7.0
08.02.2024 03:00,13.2,40,6,70 – 80%,0.3
08.02.2024 06:00,24.8,74,9,50%,2.0
08.02.2024 09:00,6.1,71,9,50%,
08.02.2024 12:00,17.5,75,19,100%,
08.02.2024 15:00,10.0,52,1,70 – 80%,5.0
08.02.2024 18:00,9.8,45,2,0%,
08.02.2024 21:00,23.0,97,7,70 – 80%,
09.02.2024 00:00,20.3,53,10,0%,
09.02.2024 03:00,20.1,76,12,70 – 80%,
09.02.2024 06:00,25.1,87,6,25%,
09.02.2024 09:00,12.2,54,12,70 – 80%,
09.02.2024 12:00,18.8,86,1,100%,
09.02.2024 15:00,8.9,43,5,0%,
09.02.2024 18:00,15.2,79,8,50%,
09.02.2024 21:00,10.7,98,19,100%,
10.02.2024 00:00,13.0,55,1,0%,2.0
10.02.2024 03:00,18.0,67,17,0%,6.0
10.02.2024 06:00,3.8,55,15,50%,
10.02.2024 09:00,32.9,43,11,25%,
10.02.2024 12:00,1.9,84,6,100%,
10.02.2024 15:00,-0.1,65,6,50%,
10.02.2024 18:00,23.6,67,16,50%,
10.02.2024 21:00,19.9,71,12,25%,
11.02.2024 00:00,18.2,84,10,100%,21.0
11.02.2024 03:00,18.3,41,5,50%,0.3
11.02.2024 06:00,11.9,70,13,25%,
11.02.2024 09:00,3.0,42,5,100%,
11.02.2024 12:00,12.8,93,5,70 – 80%,5.0
11.02.2024 15:00,5.2,47,1,0%,
11.02.2024 18:00,21.8,63,19,25%,Trace of precipitation
11.02.2024 21:00,10.5,54,14,0%,
12.02.2024 00:00,3.7,82,16,70 – 80%,0.8
12.02.2024 03:00,8.8,70,7,50%,Trace of precipitation
12.02.2024 06:00,16.1,48,4,50%,10.0
12.02.2024 09:00,6.4,78,16,100%,
12.02.2024 12:00,3.8,84,19,25%,
12.02.2024 15:00,14.4,41,0,25%,
12.02.2024 18:00,14.4,47,17,100%,0.8
12.02.2024 21:00,6.9,46,14,0%,
13.02.2024 00:00,7.3,95,4,50%,
13.02.2024 03:00,14.3,83,6,50%,
13.02.2024 06:00,-2.5,90,17,25%,
13.02.2024 09:00,-2.1,78,5,25%,
13.02.2024 12:00,4.8,81,4,100%,
13.02.2024 15:00,9.9,96,18,70 – 80%,
13.02.2024 18:00,15.1,55,9,0%,
13.02.2024 21:00,26.8,74,14,70 – 80%,0.3
14.02.2024 00:00,20.6,69,9,70 – 80%,4.0
14.02.2024 03:00,10.4,49,15,25%,14.0
14.02.2024 06:00,11.8,77,11,25%,
14.02.2024 09:00,2.0,57,17,25%,2.0
14.02.2024 12:00,11.8,89,0,70 – 80%,
14.02.2024 15:00,9.1,44,15,0%,
14.02.2024 18:00,15.2,92,5,25%,
14.02.2024 21:00,3.7,68,2,50%,
15.02.2024 00:00,17.2,78,1,0%,
15.02.2024 03:00,27.3,99,1,50%,1.0
15.02.2024 06:00,10.9,73,12,0%,
15.02.2024 09:00,16.0,82,8,25%,
15.02.2024 12:00,18.9,84,15,100%,
15.02.2024 15:00,8.0,62,4,25%,
15.02.2024 18:00,14.2,44,6,70 – 80%,
15.02.2024 21:00,12.1,69,12,70 – 80%,
16.02.2024 00:00,13.0,45,19,0%,2.0
16.02.2024 03:00,4.3,95,12,70 – 80%,
16.02.2024 06:00,12.2,97,6,25%,
16.02.2024 09:00,17.0,85,9,50%,0.3
16.02.2024 12:00,26.5,83,14,25%,1.0
16.02.2024 15:00,21.6,43,5,0%,5.0
16.02.2024 18:00,33.5,68,4,70 – 80%,3.0
16.02.2024 21:00,4.3,62,1,50%,
17.02.2024 00:00,20.7,45,14,100%,
17.02.2024 03:00,13.8,71,15,50%,0.3
17.02.2024 06:00,33.9,81,18,50%,5.0
17.02.2024 09:00,3.9,57,8,25%,
17.02.2024 12:00,3.6,54,18,100%,
17.02.2024 15:00,6.0,79,6,0%,5.0
17.02.2024 18:00,-9.2,97,3,0%,
17.02.2024 21:00,6.7,71,2,50%,
18.02.2024 00:00,4.4,48,19,50%,
18.02.2024 03:00,13.5,76,10,70 – 80%,0.3
18.02.2024 06:00,15.4,49,0,100%,15.0
18.02.2024 09:00,30.8,59,5,50%,
18.02.2024 12:00,21.5,45,10,70 – 80%,
18.02.2024 15:00,6.2,87,0,100%,
18.02.2024 18:00,3.0,95,6,0%,
18.02.2024 21:00,16.9,98,5,70 – 80%,
19.02.2024 00:00,-1.2,42,13,100%,
19.02.2024 03:00,30.3,81,1,70 – 80%,
19.02.2024 06:00,23.8,50,3,50%,2.0
19.02.2024 09:00,7.3,82,10,25%,3.0
19.02.2024 12:00,-5.1,56,14,0%,
19.02.2024 15:00,25.5,71,17,50%,
19.02.2024 18:00,10.9,43,0,50%,0.3
19.02.2024 21:00,24.4,43,2,100%,
20.02.2024 00:00,-3.9,56,2,70 – 80%,10.0
20.02.2024 03:00,6.0,80,6,0%,
20.02.2024 06:00,12.1,58,0,50%,Trace of precipitation
20.02.2024 09:00,12.5,44,10,100%,0.5
20.02.2024 12:00,7.5,71,5,0%,0.3
20.02.2024 15:00,18.2,61,19,70 – 80%,2.0
20.02.2024 18:00,1.3,95,2,50%,10.0
20.02.2024 21:00,10.6,45,18,50%,
21.02.2024 00:00,13.2,74,1,50%,
21.02.2024 03:00,17.1,61,17,0%,
21.02.2024 06:00,19.1,40,11,0%,0.8
21.02.2024 09:00,0.8,59,9,0%,0.3
21.02.2024 12:00,-3.3,61,4,0%,
21.02.2024 15:00,24.8,87,8,100%,
21.02.2024 18:00,15.3,94,1,25%,0.8
21.02.2024 21:00,4.5,50,1,100%,
22.02.2024 00:00,27.5,52,5,50%,
22.02.2024 03:00,13.2,98,9,100%,0.3
22.02.2024 06:00,23.8,81,17,70 – 80%,
22.02.2024 09:00,12.7,42,11,0%,
22.02.2024 12:00,32.6,48,3,70 – 80%,
22.02.2024 15:00,29.6,99,16,70 – 80%,
22.02.2024 18:00,9.5,51,14,50%,
22.02.2024 21:00,21.7,62,5,0%,
23.02.2024 00:00,18.5,53,15,70 – 80%,
23.02.2024 03:00,25.7,72,16,50%,
23.02.2024 06:00,2.4,57,2,0%,
23.02.2024 09:00,18.9,88,9,25%,
23.02.2024 12:00,22.6,98,4,50%,Trace of precipitation
23.02.2024 15:00,-5.6,80,13,100%,
23.02.2024 18:00,0.2,48,12,0%,0.8
23.02.2024 21:00,-8.4,62,5,70 – 80%,0.3
24.02.2024 00:00,9.3,49,11,70 – 80%,
24.02.2024 03:00,19.2,58,7,100%,3.0
24.02.2024 06:00,27.0,86,4,100%,
24.02.2024 09:00,12.7,44,14,70 – 80%,0.3
24.02.2024 12:00,28.3,86,15,0%,
24.02.2024 15:00,-1.8,91,0,50%,2.0
24.02.2024 18:00,-5.0,62,15,100%,
24.02.2024 21:00,11.4,69,4,100%,Trace of precipitation
25.02.2024 00:00,15.8,64,2,100%,
25.02.2024 03:00,11.7,67,19,25%,15.0
25.02.2024 06:00,-8.7,73,14,0%,
25.02.2024 09:00,11.1,84,12,0%,2.0
25.02.2024 12:00,-1.0,95,15,0%,
25.02.2024 15:00,18.7,87,10,0%,
25.02.2024 18:00,15.7,86,1,0%,0.3
25.02.2024 21:00,2.6,64,5,70 – 80%,3.0
26.02.2024 00:00,6.9,49,5,100%,
26.02.2024 03:00,1.4,53,13,70 – 80%,0.3
26.02.2024 06:00,11.4,81,10,25%,4.0
26.02.2024 09:00,21.6,96,7,50%,0.5
26.02.2024 12:00,2.1,85,7,100%,
26.02.2024 15:00,17.0,97,0,25%,
26.02.2024 18:00,6.7,69,6,70 – 80%,Trace of precipitation
26.02.2024 21:00,4.1,94,5,50%,
27.02.2024 00:00,10.9,80,7,25%,
27.02.2024 03:00,1.6,64,18,50%,
27.02.2024 06:00,6.5,53,19,25%,
27.02.2024 09:00,0.0,74,7,70 – 80%,Trace of precipitation
27.02.2024 12:00,31.6,91,13,50%,2.0
27.02.2024 15:00,12.4,87,17,25%,
27.02.2024 18:00,5.0,73,15,70 – 80%,
27.02.2024 21:00,14.1,49,8,100%,
28.02.2024 00:00,10.9,74,14,70 – 80%,
28.02.2024 03:00,9.8,50,9,70 – 80%,
28.02.2024 06:00,18.1,50,15,100%,0.5
28.02.2024 09:00,19.6,60,3,70 – 80%,2.0
28.02.2024 12:00,6.7,60,19,100%,
28.02.2024 15:00,6.2,61,12,100%,6.0
28.02.2024 18:00,9.2,84,4,100%,
28.02.2024 21:00,-11.0,46,6,25%,0.8
29.02.2024 00:00,-3.2,94,8,50%,
29.02.2024 03:00,25.7,56,7,25%,11.0
29.02.2024 06:00,28.4,41,15,100%,
29.02.2024 09:00,9.5,51,5,50%,
29.02.2024 12:00,17.8,96,15,50%,
29.02.2024 15:00,15.1,81,5,100%,
29.02.2024 18:00,42.8,57,13,50%,
29.02.2024 21:00,23.2,93,0,50%,
01.03.2024 00:00,10.7,98,8,25%,
01.03.2024 03:00,2.4,50,12,50%,2.0
01.03.2024 06:00,-4.1,55,18,100%,
01.03.2024 09:00,14.0,88,16,0%,0.5
01.03.2024 12:00,4.4,90,10,0%,
01.03.2024 15:00,-2.2,57,7,0%,1.0
01.03.2024 18:00,5.5,74,4,100%,0.8
01.03.2024 21:00,1.2,92,9,0%,
02.03.2024 00:00,28.9,98,6,25%,0.5
02.03.2024 03:00,20.8,65,9,100%,
02.03.2024 06:00,11.9,55,3,100%,Trace of precipitation
02.03.2024 09:00,26.8,45,8,100%,
02.03.2024 12:00,12.8,96,13,50%,
02.03.2024 15:00,3.4,83,1,50%,
02.03.2024 18:00,27.2,82,8,50%,
02.03.2024 21:00,17.4,86,0,70 – 80%,
03.03.2024 00:00,1.6,86,9,25%,Trace of precipitation
03.03.2024 03:00,10.1,87,9,100%,
03.03.2024 06:00,3.2,81,19,100%,
03.03.2024 09:00,-1.8,51,2,50%,
03.03.2024 12:00,21.3,99,5,100%,
03.03.2024 15:00,31.1,52,5,100%,
03.03.2024 18:00,-2.0,43,1,0%,0.8
03.03.2024 21:00,17.6,78,17,100%,
04.03.2024 00:00,5.5,93,1,70 – 80%,
04.03.2024 03:00,7.1,41,11,50%,
04.03.2024 06:00,6.1,65,4,25%,
04.03.2024 09:00,3.4,98,19,25%,5.0
04.03.2024 12:00,12.5,66,6,0%,
04.03.2024 15:00,3.7,66,15,25%,
04.03.2024 18:00,14.7,54,19,25%,
04.03.2024 21:00,11.5,47,0,50%,
05.03.2024 00:00,9.6,46,0,50%,
05.03.2024 03:00,2.9,86,16,70 – 80%,
05.03.2024 06:00,6.2,94,0,0%,1.0
05.03.2024 09:00,19.6,85,19,25%,
05.03.2024 12:00,17.0,79,12,70 – 80%,
05.03.2024 15:00,2.2,99,8,0%,
05.03.2024 18:00,13.0,51,14,25%,
05.03.2024 21:00,19.5,52,2,25%,
06.03.2024 00:00,-4.7,82,13,50%,Trace of precipitation
06.03.2024 03:00,17.4,56,10,100%,1.0
06.03.2024 06:00,5.4,56,11,0%,
06.03.2024 09:00,17.7,95,12,25%,
06.03.2024 12:00,4.4,75,12,0%,
06.03.2024 15:00,-6.0,60,0,70 – 80%,
06.03.2024 18:00,-4.3,47,9,70 – 80%,12.0
06.03.2024 21:00,12.5,44,2,100%,63.0
07.03.2024 00:00,14.6,65,3,25%,Trace of precipitation
07.03.2024 03:00,3.0,55,15,50%,
07.03.2024 06:00,18.4,75,7,25%,
07.03.2024 09:00,-4.6,67,15,0%,2.0
07.03.2024 12:00,11.3,93,16,70 – 80%,0.3
07.03.2024 15:00,-0.1,68,18,0%,1.0
07.03.2024 18:00,5.5,86,14,100%,
07.03.2024 21:00,12.5,51,15,70 – 80%,
08.03.2024 00:00,3.4,76,14,50%,
08.03.2024 03:00,8.2,69,1,70 – 80%,
08.03.2024 06:00,22.1,62,10,25%,
08.03.2024 09:00,6.2,55,0,25%,24.0
08.03.2024 12:00,20.4,53,14,70 – 80%,
08.03.2024 15:00,0.7,49,18,100%,
08.03.2024 18:00,17.3,46,3,25%,3.0
08.03.2024 21:00,26.4,84,10,25%,
09.03.2024 00:00,-12.7,91,4,50%,6.0
09.03.2024 03:00,4.0,99,2,70 – 80%,
09.03.2024 06:00,17.8,76,12,25%,
09.03.2024 09:00,10.0,68,9,100%,4.0
09.03.2024 12:00,15.7,42,10,0%,Trace of precipitation
09.03.2024 15:00,6.0,54,17,70 – 80%,
